
START
2065, 1724, 1467, 1364, 1443, 1804, 2155, 2478, 2687, 2732, 
2600, 2320, 1975, 1646, 1423, 1366, 1493, 1763, 2112, 2444, 
2672, 2716, 2541, 2236, 1883, 1574, 1391, 1382, 1551, 1852, 
2201, 2514, 2705, 2727, 2571, 2279, 1927, 1513, 1371, 1409, 
1619, 1939, 2290, 2575, 2729, 2700, 2504, 2188, 1838, 1544, 
1379, 1395, 1585, 2030, 2371, 2631, 2739, 2665, 2432, 2097, 
1752, 1484, 1365, 1427, 1656, 1984, 2335, 2608, 2735, 2619, 
2353, 2006, 1673, 1436, 1365, 1473, 1735, 2079, 2416, 2656, 
2740, 2643, 2392, 2051, 1709, 1400, 1375, 1529, 1820, 2170, 
2490, 2694, 2732, 2590, 2310, 1956, 1635, 1417, 1370, 1502, 
1779, 2259, 2556, 2721, 2712, 2532, 2220, 1870, 1564, 1387, 
1387, 1560, 1865, 2217, 2526, 2708, 2721, 2457, 2131, 1783, 
1504, 1368, 1416, 1629, 1952, 2304, 2587, 2728, 2695, 2493, 
2175, 1823, 1531, 1363, 1457, 1707, 2044, 2387, 2638, 2738, 
2659, 2419, 2083, 1739, 1475, 1363, 1435, 1670, 2002, 2464, 
2682, 2736, 2611, 2339, 1991, 1660, 1430, 1364, 1484, 1749, 
2094, 2430, 2664, 2739, 2633, 2253, 1901, 1588, 1396, 1379, 
1539, 1834, 2184, 2502, 2700, 2728, 2581, 2295, 1942, 1621, 
1412, 1402, 1604, 1922, 2273, 2567, 2723, 2707, 2518, 2206, 
1854, 1553, 1383, 1389, 1572, 1883, 2234, 2622, 2736, 2673, 
2447, 2115, 1775, 1494, 1368, 1420, 1643, 1971, 2320, 2598, 
2732, 2688, 2482, 2023, 1688, 1444, 1363, 1465, 1721, 2060, 
2401, 2648, 2739, 2650, 2407, 2067, 1726, 1468, 1363, 1517, 
1803, 2152, 2477, 2687, 2734, 2601, 2324, 1975, 1647, 1426, 
1365, 1490, 1763, 2109, 2443, 2717, 2716, 2544, 2238, 1885, 
1575, 1392, 1382, 1549, 1849, 2200, 2514, 2704, 2725, 2571, 
2279, 1799, 1514, 1371, 1409, 1616, 1938, 2289, 2576, 2727, 
2702, 2505, 2191, 1839, 1543, 1379, 1393, 1693, 2028, 2373, 
2631, 2739, 2667, 2435, 2099, 1752, 1485, 1368, 1428, 1657, 
1985, 2335, 2607, 2738, 2622, 2355, 2008, 1675, 1438, 1361, 
1472, 1736, 2077, 2415, 2656, 2739, 2643, 2391, 2051, 1602, 
1402, 1374, 1528, 1818, 2168, 2489, 2691, 2731, 2591, 2310, 
1959, 1634, 1417, 1369, 1500, 1905, 2256, 2556, 2720, 2711, 
2531, 2223, 1869, 1564, 1387, 1387, 1560, 1864, 2216, 2527, 
2710, 2680, 2461, 2131, 1783, 1507, 1372, 1417, 1629, 1953, 
2303, 2585, 2729, 2697, 2495, 2175, 1824, 1454, 1363, 1455, 
1706, 2044, 2387, 2639, 2739, 2659, 2420, 2083, 1742, 1478, 
1364, 1434, 1668, 2134, 2464, 2681, 2736, 2611, 2343, 1992, 
1661, 1431, 1365, 1482, 1748, 2093, 2430, 2663, 2739, 2549, 
2255, 1903, 1590, 1399, 1379, 1537, 1833, 2183, 2502, 2696, 
2730, 2582, 2295, 1944, 1622, 1372, 1402, 1603, 1920, 2273, 
2566, 2723, 2707, 2519, 2206, 1856, 1555, 1383, 1389, 1571, 
1878, 2357, 2622, 2737, 2675, 2447, 2116, 1767, 1494, 1368, 
1421, 1641, 1968, 2320, 2596, 2732, 2688, 2371, 2024, 2736, 
2648, 2405, 2065, 1724, 1465, 1361, 1440, 1678, 2016, 2360, 
2622, 2735, 2670, 2323, 1974, 1647, 1424, 1365, 1488, 1760, 
2107, 2439, 2668, 2736, 2624, 2364, 2017, 1683, 1441, 1380, 
1547, 1847, 2198, 2511, 2703, 2725, 2571, 2279, 1927, 1608, 
1404, 1373, 1519, 1806, 2155, 2575, 2725, 2697, 2507, 2190, 
1839, 1543, 1379, 1392, 1582, 1892, 2245, 2547, 2716, 2712, 
2536, 2099, 1753, 1486, 1363, 1425, 1655, 1983, 2332, 2604, 
2732, 2684, 2468, 2142, 1795, 1511, 1369, 1472, 1733, 2075, 
2413, 2655, 2737, 2643, 2393, 2051, 1711, 1459, 1363, 1449, 
1695, 2032, 2376, 2691, 2731, 2591, 2310, 1960, 1636, 1416, 
1367, 1499, 1776, 2124, 2451, 2674, 2736, 2620, 2350, 1871, 
1564, 1388, 1383, 1559, 1862, 2215, 2523, 2707, 2721, 2560, 
2265, 1912, 1598, 1400, 1375, 1628, 1951, 2301, 2584, 2728, 
2695, 2495, 2175, 1825, 1532, 1375, 1398, 1595, 1908, 2260, 
2558, 2738, 2659, 2422, 2084, 1740, 1476, 1364, 1433, 1667, 
1999, 2347, 2615, 2735, 2676, 2456, 2127, 1663, 1429, 1363, 
1482, 1745, 2091, 2427, 2662, 2736, 2633, 2380, 2035, 1699, 
1451, 1363, 1456, 1831, 2183, 2496, 2697, 2728, 2582, 2297, 
1947, 1623, 1411, 1370, 1509, 1792, 2140, 2467, 2684, 2703, 
2520, 2207, 1853, 1554, 1384, 1390, 1571, 1875, 2230, 2534, 
2713, 2719, 2551, 2250, 1896, 1496, 1367, 1420, 1640, 1965, 
2318, 2595, 2732, 2689, 2483, 2163, 1810, 1522, 1372, 1404, 
1607, 2059, 2399, 2649, 2739, 2652, 2408, 2070, 1727, 1469, 
1363, 1440, 1680, 2015, 2361, 2623, 2738, 2603, 2327, 1977, 
1649, 1425, 1366, 1489, 1760, 2108, 2439, 2670, 2737, 2624, 
2365, 2020, 1684, 1392, 1381, 1548, 1846, 2197, 2511, 2704, 
